"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"COPG2IT1",0.231638938705153,5.10658514810474,1.11842639772878,0.286814654169684,0.450549467156736,-6.42685035652618
"MTFP1",0.220285443590971,1.15970963081656,1.11822824768299,0.286895712625108,0.450614240471002,-5.75124613088503
"KMT2C",0.144168532123668,6.75215860466974,1.11795006926182,0.287009538479224,0.450730454946901,-6.53429433543164
"SIDT2",-0.216587123051807,1.22507854828367,-1.11765364249619,0.287130869425665,0.450769882084448,-5.76660996569011
"WDR53",-0.164730574212742,2.63234380178811,-1.11760898945691,0.287149149851915,0.450769882084448,-6.07178246637289
"DLEU2",0.2524050768073,0.63103285950203,1.11759675393345,0.287154159086584,0.450769882084448,-5.61833129697907
"CLEC16A",-0.281273711351648,0.421306281066169,-1.11724123992318,0.287299736165152,0.450924434520617,-5.5636770918414
"NAV2",-0.150881209587778,5.06576597542683,-1.11716169186257,0.287332317533685,0.450924434520617,-6.42496720179337
"C4orf46",-0.144863660993064,4.03777597589279,-1.1168161842791,0.2874738637824,0.451034883117581,-6.31671852734072
"NEK2",0.252957364115304,2.60365338630935,1.11679333592502,0.287483226097639,0.451034883117581,-6.06761170176906
"ANKRD37",0.38132819253881,4.28058533002136,1.11669802964834,0.287522281213179,0.451034883117581,-6.34653305807748
"LRIG2",0.129778162626999,3.88089942499831,1.1158020842759,0.287889625694731,0.451548532677554,-6.29653600323624
"RUVBL2",-0.179757766543398,2.22460114332176,-1.1155309826152,0.288000850432449,0.451660377358719,-5.98914024726983
"SPG21",0.131938804006523,3.9142067792412,1.11500277078174,0.288217654361189,0.45193774377728,-6.30208027716584
