	SRR12626034	SRR12626035	SRR12626036	SRR12626040	SRR12626041	SRR12626042
CMTR1	86	86	71	86	106	92
CMTR2	1345	993	889	1547	752	984
CNBP	19946	19982	15953	24154	12899	18030
CNDP2	616	491	424	864	534	642
CNEP1R1	855	822	678	1375	746	948
CNGB1	150	149	126	44	22	19
CNIH1	5836	5663	5353	7962	4470	6899
CNIH3	68	125	87	106	51	54
CNIH4	2862	2833	2508	4887	2696	3302
CNKSR2	90	65	51	77	60	72
CNKSR3	491	447	424	560	348	430
CNN2	376	350	233	708	433	464
CNN3	5312	5383	4675	6995	4358	5441
CNNM1	102	86	85	85	102	88
CNNM2	84	72	67	62	30	47
CNNM3	343	428	387	363	223	305
CNNM4	88	98	58	67	51	64
CNOT1	9068	9694	7845	10382	6736	8570
CNOT10	445	428	403	750	374	461
CNOT11	308	274	256	370	203	276
CNOT2	2628	2469	2316	3428	2060	2478
CNOT4	3492	3494	3263	4077	2082	3161
CNOT6	1944	1923	1934	2338	1417	1998
CNOT6L	1707	1766	1604	1796	1002	1490
CNOT7	1437	1235	1154	2156	1060	1374
CNOT8	619	615	616	934	496	739
CNP	118	119	97	166	80	132
CNPPD1	138	124	99	177	92	149
CNPY1	86	86	80	70	23	88
CNPY2	299	283	211	346	201	249
CNPY3	78	70	31	65	39	38
CNPY4	155	174	126	159	140	131
CNR1	123	174	160	407	192	193
CNRIP1	78	87	86	124	95	108
CNST	1829	1765	1539	2100	1140	1645
CNTD1	38	37	45	65	9	21
CNTLN	663	599	392	739	302	525
CNTN1	767	697	566	1686	693	458
CNTN3	1681	1895	1437	1483	438	1206
CNTN5	309	175	157	107	69	149
CNTNAP1	53	75	85	79	52	68
CNTNAP2	214	162	110	397	192	242
CNTNAP3	90	48	69	146	44	84
CNTRL	2525	2428	1880	2443	977	2380
COA1	1446	1658	1515	2095	1252	1660
COA3	1172	1060	778	1445	887	988
COA4	353	359	219	474	272	380
COA5	479	456	358	399	216	374
COA6	587	454	465	558	385	526
COA7	363	360	343	597	358	416
COASY	184	181	139	249	129	180
COBLL1	3664	2796	2603	1577	799	1769
COCH	63	40	55	68	43	25
COG1	282	264	231	280	166	259
COG2	2452	2023	1952	2748	1553	2152
COG3	1660	1527	1499	1937	1061	1631
COG4	462	454	267	628	360	521
